ResponseId,UserLanguage,Q1,Q2,Q2_Origin,Q3,Q4,Q5_1,Q5_2,Q5_3,Q6,Economic_Food,Culture_Recreation,Culture_MentalHealth_Wellbeing,Economic_Transport,Economic_RenewableEnergy,Economic_RawMaterial,Culture_Aesthetics,Culture_SenseofIdentity,Economic_OilandGas,Culture_HistoryandHeritage,Q6b,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9,Q9b,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q13,Q14,Q14,CountryIncomeLevel,Q15,Q15b,Q16,Q17,Q17b,Q18,Q18b
R_XtyDCMLZakJdYvn,EN-GB,4,5,5,4,4,Carbon emissions,,,"2,4,5",0,1,0,1,0,0,0,0,0,0,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,"2,5,6",,"1,4,6",3,3,3,3,3,3,3,3,1,1,5,2,5,5,1,1,5,5,3,5,1,4,Belgium,High income,5,,2,1,,4,
R_1Lnb62hvSNS2OCs,FR,4,5,5,5,4,Loss of biodiversity ,Heat waves,flooding,"2,4,6",0,1,0,1,1,0,0,0,0,0,,4,4,4,4,4,4,4,3,3,4,3,4,4,5,NA,NA,1,5,5,5,"2,6,8",,"1,3,5",2,2,3,3,2,2,3,2,2,1,5,1,5,5,2,4,5,4,1,5,3,4,Belgium,High income,3,,4,1,,5,
R_1f8GlHRQl3RUhX3,FR,4,4,4,3,4,Global warming,Weather changes,,"1,2,5",1,1,0,0,0,0,0,0,0,0,,4,6,5,4,5,4,4,6,6,4,6,6,6,5,2,5,1,5,5,5,"6,7,8",,"1,6,7",3,3,3,3,2,3,2,2,2,2,5,1,5,4,1,5,5,4,1,4,1,4,Belgium,High income,2,,2,1,,4,
R_u8teRqs5y6wx6pj,EN-GB,4,4,4,4,3,Deforestation ,,,"1,2,12",1,1,0,0,0,0,0,0,1,0,,3,2,5,4,2,4,3,2,2,2,3,3,2,4,2,3,2,4,5,4,"1,4,6",,"1,3,6",3,3,3,3,3,3,3,3,2,2,4,2,4,4,4,4,5,4,2,4,2,6,Brazil,Upper middle income,2,,6,2,,4,
R_1jq8EgGmhmB0mwS,EN-GB,4,4,4,3,3,Coastal flooding,Species extinction,Lack of natural resources ,"1,2,12",1,1,0,0,0,0,0,0,1,0,,5,5,5,5,5,2,2,2,5,2,5,5,5,5,2,5,2,5,5,5,"6,7,10",,"2,6,7",3,3,3,3,3,2,2,2,2,2,4,2,4,4,3,4,4,4,4,4,1,6,Brazil,Upper middle income,3,,2,1,,5,
R_3lJK2LwbzLh07Pv,ES-ES,4,5,5,3,4,Landslides,Floods,Skin diseases from the stronger sun,"1,9,12",1,0,0,0,0,0,0,0,1,0,,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,5,1,5,5,5,"1,5,7",,"1,4,7",3,3,3,3,3,3,3,3,4,1,5,1,5,5,1,5,5,5,1,5,1,6,Brazil,Upper middle income,2,,3,1,,3,
R_3kKWX89YOER4bVh,ES-ES,4,4,4,5,4,Fossil fuels,Fires,,"1,2,8",1,1,0,0,0,0,0,0,0,0,,4,5,5,4,3,4,4,3,3,2,3,4,4,5,4,3,1,4,3,4,"1,4,7",,"1,4,7",3,3,3,3,3,3,3,3,1,2,4,2,4,5,2,4,5,4,2,5,3,6,Brazil,Upper middle income,3,,6,1,,5,
R_A6itcKcA4iYzfjP,FR,4,4,4,4,4,Drought in the north,Coastal flooding,,"1,12,14",1,0,0,0,0,0,0,0,1,1,,4,3,5,2,4,5,4,1,1,1,3,3,2,5,5,4,1,4,5,5,"1,4,10",,"1,6,8",3,3,3,3,3,3,3,3,1,1,4,1,5,3,1,5,5,5,2,5,3,7,Cameroon,Lower middle income,NA,I am in charge of research and head of a research unit on marine ecosystems and exchanges with local communities for better management of fishing activity,3,2,,NA,"Master in Oceanography, PhD in progress"
R_2cnHNrVA1wE97OA,EN-GB,4,4,4,4,4,Wild fires ,Floods,Droughts,"1,4,8",1,0,0,1,0,0,0,0,0,0,,3,2,4,3,4,4,3,4,3,3,4,4,3,4,3,3,1,4,4,4,"1,6,8",,"1,6,7",3,3,3,2,3,2,2,2,2,4,4,2,5,5,3,3,5,5,1,4,2,8,Canada,High income,NA,I am a biological oceanographer by training and have spent months at sea on large vessels.  I also paddle my kayak in the coastal waters of Nova Scotia on a regular basis.,6,1,,5,
R_1OrdagYKLYriOIW,EN-GB,4,5,5,4,4,Food security,Biodiversity loss,Habitat loss,"3,5,9",0,0,1,0,0,0,0,0,0,0,,5,5,4,4,5,4,4,5,5,4,4,5,3,5,1,5,1,5,5,5,"3,7,9",,"1,6,8",3,3,3,3,3,3,3,3,2,1,5,2,5,5,2,5,5,5,1,5,3,8,Canada,High income,3,,3,1,,4,
R_3r2L4cYx62Y0Rlr,EN-GB,4,4,4,3,4,Water temperature rising,Changes in fish habitat ,Decline in resources,"1,8,11",1,0,0,0,0,0,0,1,0,0,,3,4,4,4,5,3,2,1,4,4,2,2,2,5,2,4,1,5,5,5,"1,5,10",,"1,4,7",3,3,3,3,3,3,3,3,2,1,5,1,5,5,4,5,5,5,1,5,2,8,Canada,High income,3,,2,1,,NA,
R_RkRYMWDt1p6VVuh,EN-GB,4,5,5,4,4,Extreme weather,Displacement of people and wildlife,,"1,5,14",1,0,0,0,0,0,0,0,0,1,,4,5,4,4,5,5,3,4,4,5,4,6,6,5,2,3,1,5,4,5,"3,5,7",,"1,6,7",2,3,3,3,3,2,2,3,1,2,5,1,5,5,1,5,5,5,1,5,2,8,Canada,High income,3,,3,1,,5,
R_2PvvkzoW0MSD1qu,FR,4,4,4,3,4,Disturbance of seasons,increased extreme episodes (fire),Ocean acidification,"1,4,12",1,0,0,1,0,0,0,0,1,0,,2,5,6,5,5,2,1,2,6,3,4,4,6,5,3,4,1,4,4,5,"1,7,8",,"3,5,6",3,3,3,2,3,3,2,2,3,3,5,1,5,5,2,4,5,5,5,4,2,8,Canada,High income,3,,3,1,,4,
R_O1Dh5A0WqAbZupz,FR,4,4,4,4,4,Premature disappearance of species,Melting ice,Sea level rise,"1,2,6",1,1,0,0,1,0,0,0,0,0,,4,3,5,5,5,5,3,3,2,4,3,4,2,5,3,5,1,4,5,4,"1,6,8",,"4,5,6",3,3,NA,3,3,3,3,3,2,1,5,1,5,5,2,1,5,4,1,5,1,8,Canada,High income,5,,3,1,,4,
R_1ie7LJkBUxOlnbj,EN-GB,4,3,3,4,4,Economic development ,,,"2,6,9",0,1,0,0,1,0,0,0,0,0,,3,3,4,3,4,4,2,3,3,3,3,4,2,4,3,4,4,4,4,4,"1,4,7",,"1,5,6",3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,3,4,4,4,4,2,9,China,Upper middle income,3,,2,2,,4,
R_33xNxoyJynYcTof,EN-GB,4,4,4,4,3,Extreme weather,,,"1,4,12",1,0,0,1,0,0,0,0,1,0,,3,3,4,3,3,3,3,3,3,2,3,4,3,4,3,3,3,4,3,4,12,,"1,2,4",3,3,3,3,3,3,2,2,4,2,4,2,3,4,2,2,4,4,4,3,1,9,China,Upper middle income,2,,3,2,,5,
R_33fjDgCLGqqWMgE,EN-GB,4,5,5,3,4,Natural catastrophes,Refugee crises,Political radicalisation ,"1,5,8",1,0,0,0,0,0,0,0,0,0,,5,5,6,6,5,5,3,6,5,6,3,5,4,5,1,5,1,5,4,4,"6,8,10",,"4,6,7",3,3,3,3,3,2,2,2,1,2,5,1,5,5,2,5,4,NA,1,4,1,10,Colombia,Upper middle income,NA,I study them,3,1,,5,
R_ePrCowXszIj3uzD,ES-ES,3,3,3,4,4,Poverty,Ecosystems ,Finances,"1,5,8",1,0,0,0,0,0,0,0,0,0,,5,5,4,3,4,5,5,4,4,5,4,3,2,5,1,5,1,5,5,5,"4,6,7",,"1,3,7",1,2,3,3,3,3,3,2,1,1,5,2,5,NA,1,4,5,5,4,5,2,10,Colombia,Upper middle income,2,,4,1,,4,
R_pRcEXnVrwhWu49z,FR,4,4,4,4,3,Temperature variation,,,"1,2,4",1,1,0,1,0,0,0,0,0,0,,2,1,3,3,3,1,5,1,3,5,3,6,6,5,2,5,1,2,4,5,"1,6,8",,"1,2,4",2,2,3,3,3,3,3,2,2,2,5,1,4,2,2,4,4,4,1,4,1,11,Djibouti,Lower middle income,3,,2,2,,4,
R_XESRGbAvqR04Evf,FR,4,4,4,4,4,Degradation of mangroves,Increase in ocean temperatures,Bleaching of coral reefs,"1,2,4",1,1,0,1,0,0,0,0,0,0,,2,1,3,3,3,2,2,1,1,2,1,2,2,5,3,3,2,4,5,5,"4,5,7",,"1,6,8",3,3,3,2,3,2,2,2,3,4,5,1,5,5,1,4,5,5,4,5,1,11,Djibouti,Lower middle income,3,,6,2,,NA,Masters in Oceanography
R_3nkJkqMy1grV9WF,ES-ES,4,4,4,5,4,Sea-level rise,Acidification of the oceans ,Drought,"1,2,8",1,1,0,0,0,0,0,0,0,0,,4,4,5,5,5,4,5,4,5,4,5,6,6,3,2,4,1,5,5,5,"2,6,7",,"1,5,8",3,3,3,3,3,3,3,3,3,2,5,2,5,4,1,3,5,5,4,5,1,12,Ecuador,Upper middle income,3,,3,1,,4,
R_2WG6isn49gjgbbu,EN-GB,4,5,5,5,4,Rising sea level ,Unexpected weather events ,Increased immigration,"3,11,14",0,0,1,0,0,0,0,1,0,1,,3,2,5,4,5,2,2,2,5,2,3,3,2,5,2,5,1,5,5,5,"5,6,10",,"1,4,6",3,3,3,3,3,2,2,2,4,2,5,2,4,5,2,4,5,5,1,5,2,13,Finland,High income,5,,3,1,,4,
R_1PXlW1VL5YufqoS,EN-GB,4,4,4,5,4,Loss of biodiversity ,Weather extremes + food insecurity,Migration and social unrest,"3,4,11",0,0,1,1,0,0,0,1,0,0,,4,2,3,5,5,4,4,4,5,5,5,3,1,5,1,4,1,5,5,3,"4,5,7",,"1,4,6",3,3,3,3,3,2,2,2,2,1,5,1,5,5,1,5,5,5,1,5,2,13,Finland,High income,NA,Marine biologist / researcher,3,1,,5,
R_1ptlp0zLXTywwF3,EN-GB,4,5,5,4,4,warming,Forest and biodiversity decrease,Sea level rise,"3,5,13",0,0,1,0,0,0,0,0,0,0,,5,4,3,3,5,5,4,4,5,2,3,3,2,5,2,5,1,5,5,5,"4,5,9",,"1,3,6",3,3,3,3,3,2,3,3,2,2,5,2,5,5,2,5,5,5,1,5,3,13,Finland,High income,3,,NA,1,,5,
R_A1LHCFa2Bw3orT3,EN-GB,4,5,5,5,4,Biodiversity collapse,Forced migration,Point of no return for humanity,"1,8,13",1,0,0,0,0,0,0,0,0,0,,4,2,4,6,5,3,1,1,1,1,1,3,6,5,2,4,1,5,5,4,"7,8,9",,"1,6,7",3,3,3,3,3,2,2,2,1,2,1,1,5,5,1,4,5,5,2,5,2,13,Finland,High income,3,,3,1,,5,
R_1pxJnnX3Nt5pTcC,EN-GB,4,4,4,4,4,Drought ,Coastal flooding,Higher storm frequency and intensity ,"1,2,4",1,1,0,1,0,0,0,0,0,0,,4,3,3,4,4,4,5,3,5,4,5,4,2,4,2,2,1,5,3,5,"1,7,10",,"1,5,6",3,3,3,2,NA,2,NA,2,2,2,5,1,4,5,2,5,5,5,1,5,2,14,France,High income,NA,I studied oceanography,2,1,,4,
R_3pnKhLfAvSCoDxT,EN-GB,4,4,4,4,4,Coastal flooding,Coastal erosion,Impacts on marine life biodiversity,"1,2,8",1,1,0,0,0,0,0,0,0,0,,4,4,4,3,3,5,5,2,5,3,4,3,2,4,NA,2,1,5,4,5,"1,7,10",,"3,4,8",3,3,3,2,3,2,NA,2,1,2,5,1,3,5,2,NA,5,5,NA,4,3,14,France,High income,3,,3,1,,4,
R_3p9ytzsk8577np3,EN-GB,4,4,4,4,4,Loss of wildlife,"Health, weather, social changes",,"1,2,4",1,1,0,1,0,0,0,0,0,0,,5,3,5,5,5,5,5,5,4,5,5,5,4,5,2,5,1,5,5,4,"6,7,9",,"1,6,8",3,3,3,3,3,2,2,2,1,1,5,1,5,5,2,5,5,5,1,5,1,14,France,High income,2,,2,2,,3,
R_301xTE9k5pflNqm,EN-GB,4,4,4,3,4,Ocean,Food ,Natural resources ,"1,2,14",1,1,0,0,0,0,0,0,0,1,,5,6,4,6,4,6,5,6,5,5,6,6,6,5,1,5,1,5,4,4,"2,5,7",,"1,4,7",3,3,3,3,3,3,3,3,2,2,5,1,5,5,NA,5,5,5,NA,4,1,14,France,High income,5,,5,NA,,NA,
R_1pQeRUqHIQsVNVs,IT,4,4,4,3,4,Drinking water scarcity / drought,Destruction of biodiversity,Irreversibility,"1,2,4",1,1,0,1,0,0,0,0,0,0,,4,3,4,4,4,5,5,3,6,3,3,4,3,5,3,3,1,5,5,4,"1,6,8",,"1,2,4",3,3,3,3,3,3,3,2,2,1,5,1,5,5,1,4,5,5,1,5,2,14,France,High income,2,,3,1,,4,
R_2VHG6VYaG1SVLhn,IT,4,4,4,2,3,The future of my children,,,"2,4,5",0,1,0,1,0,0,0,0,0,0,,3,3,5,4,4,3,4,2,3,1,3,5,1,4,1,4,2,4,4,2,"2,3,9",,"2,4,6",3,3,3,3,3,3,3,2,1,1,5,NA,5,4,2,2,4,4,1,4,1,14,France,High income,2,,2,1,,4,
R_3qgMJbwboFWJ8R4,FR,4,5,5,4,4,Sea level rise,Biodiversity degradation,Water warming,"1,2,4",1,1,0,1,0,0,0,0,0,0,,5,4,5,4,5,5,5,4,5,4,5,5,3,5,2,5,1,5,5,5,"1,7,8",,"1,6,8",3,3,3,3,3,3,3,3,2,1,5,1,5,5,2,5,5,5,1,5,3,14,France,High income,NA,Marine biologist and used to the sea,2,2,,4,
R_2XgP6V2ZYix9cav,FR,4,5,5,5,4,Drought,Flooding,Fires,"1,2,3",1,1,1,0,0,0,0,0,0,0,,5,4,3,3,4,5,4,3,4,4,4,4,3,5,3,3,1,5,5,5,"4,5,8",,"1,4,8",3,3,3,3,3,3,3,3,1,1,5,1,5,5,1,5,5,5,2,5,3,14,France,High income,3,,3,2,,5,
R_0olHzUgb7EaAvlv,FR,4,4,4,4,4,Earthquake,tsunami,Volcanic eruption,"1,2,3",1,1,1,0,0,0,0,0,0,0,,3,4,5,5,3,4,4,3,3,3,3,4,2,5,2,2,1,3,5,5,"1,6,8",,"1,4,6",3,3,3,3,3,2,2,2,2,1,5,2,4,4,1,5,5,5,2,5,2,14,France,High income,2,,3,2,,3,
R_2TXoEpB0LEvqHBN,FR,4,3,3,2,4,Marine biodiversity,,,"1,2,10",1,1,0,0,0,0,1,0,0,0,,2,2,4,3,4,2,4,2,2,2,2,2,2,5,3,5,1,4,4,4,"1,4,7",,"1,6,7",NA,3,3,3,3,3,3,3,2,4,5,1,5,4,3,5,5,5,3,5,2,14,France,High income,2,,3,2,,4,
R_scyaIhhlUnHTmDf,FR,4,3,3,2,3,Sea level rise,,,"1,2,14",1,1,0,0,0,0,0,0,0,1,,4,2,3,2,4,3,2,6,6,6,6,6,6,5,2,4,2,5,4,4,"1,5,9",,"2,5,6",3,3,3,3,3,3,3,3,2,2,4,2,3,4,2,4,5,4,3,4,1,14,France,High income,2,,3,2,,4,
R_1ptWiVuDS9bGW6f,FR,4,5,5,2,4,Greenland ,Africa,,"1,2,3",1,1,1,0,0,0,0,0,0,0,,3,4,5,3,4,3,4,3,3,3,3,2,3,4,3,2,3,4,4,3,"1,8,10",,"1,5,6",3,3,3,3,3,3,3,3,2,5,5,3,5,5,1,2,5,4,5,5,1,14,France,High income,3,,3,2,,3,
R_vAlwVTmrdayfKeJ,FR,4,5,5,4,3,Increased temperatures,,,"2,8,9",0,1,0,0,0,0,0,0,0,0,,4,4,5,3,4,4,3,2,2,3,5,3,2,5,2,4,1,5,5,4,"3,7,8",,"4,5,8",3,3,3,3,3,3,NA,2,2,1,5,2,4,5,2,4,5,4,3,5,3,14,France,High income,2,,3,1,,5,
R_Clznfjl0VjDbdhD,FR,4,4,4,3,3,Sea level rise,,,"1,2,4",1,1,0,1,0,0,0,0,0,0,,3,4,4,3,3,3,4,2,3,3,3,4,6,5,2,4,2,4,4,3,"1,5,6",,"1,4,6",3,3,3,3,3,3,3,3,3,3,4,1,4,4,1,1,4,4,1,4,2,14,France,High income,1,,3,2,,4,
R_29iaZVJ7ugrCeKx,FR,4,3,3,3,2,Temperature ,,,"6,7,12",0,0,0,0,1,1,0,0,1,0,,2,2,5,2,5,2,2,2,2,2,2,5,4,4,4,4,2,4,3,3,"6,7,8",,"1,2,6",3,3,3,3,3,3,3,3,1,1,4,3,4,1,1,3,4,3,4,3,1,14,France,High income,2,,3,2,,2,
R_3Ea0FOqHaYO38o9,FR,4,3,3,4,3,Climatic instability ,Pollution,Natural hazards,"1,2,6",1,1,0,0,1,0,0,0,0,0,,4,5,5,5,4,4,4,3,4,3,4,4,4,5,2,4,1,NA,4,3,"6,8,10",,"1,4,5",3,2,2,2,3,2,2,2,2,2,4,2,4,4,4,4,4,4,4,4,1,14,France,High income,2,,3,2,,4,
R_0IcyjS8qM1hOUOl,FR,4,3,3,4,4,Temperature ,Sea level rise ,Disappearance of fauna and flora,"1,2,3",1,1,1,0,0,0,0,0,0,0,,5,5,5,5,5,5,5,4,6,6,4,5,6,5,2,5,2,5,NA,4,"5,8,9",,"1,3,4",3,3,3,3,3,3,3,1,2,2,5,1,NA,4,2,5,5,NA,NA,4,1,14,France,High income,2,,3,2,,3,
R_2SvQyATJwr62RCy,FR,4,4,4,3,3,Bigger and bigger hurricanes ,Sea level rise and coastal erosion,,"2,3,8",0,1,1,0,0,0,0,0,0,0,,3,1,2,3,5,3,3,2,2,1,2,4,2,5,2,5,1,2,3,5,"1,6,8",,"2,4,7",3,3,3,3,3,2,2,3,2,2,5,1,3,4,1,4,5,5,2,5,2,14,France,High income,2,,3,2,,3,
R_2V25j9JUDDIhirY,FR,4,4,4,4,4,Increase in sea level ,Increase temperature,Magnetic deregulation,"1,2,8",1,1,0,0,0,0,0,0,0,0,,4,3,4,4,4,3,3,2,5,2,3,5,2,5,3,4,1,4,5,4,"2,6,8",,"1,3,4",3,3,3,3,3,3,2,2,2,4,4,2,5,4,1,4,5,5,2,4,2,14,France,High income,2,,3,2,,3,
R_1gnzjOVHQ16V24C,FR,4,4,4,5,4,Effects on ecosystem health,Extreme weather events,,"1,2,8",1,1,0,0,0,0,0,0,0,0,,5,5,5,5,4,4,3,3,4,5,5,5,3,5,2,5,1,5,5,5,"1,5,10",,"5,6,8",3,3,3,3,3,3,3,3,2,1,5,1,5,5,1,5,5,5,2,5,1,14,France,High income,3,,2,1,,5,
R_pgj8Dh1b6hAF4PL,FR,4,4,4,2,3,Coastal erosion,Pollution,Global warming,"1,2,11",1,1,0,0,0,0,0,1,0,0,,2,2,4,3,3,3,3,3,2,2,3,4,2,5,2,4,1,4,4,4,"1,6,8",,"1,5,7",3,3,3,3,3,3,3,3,2,1,5,2,5,3,1,5,5,4,3,3,1,14,France,High income,2,,3,2,,3,
R_295jpKWsW7TEu4g,FR,4,4,4,4,3,heat wave,Changing biodiversity ,Sea level rise,"1,6,8",1,0,0,0,1,0,0,0,0,0,,4,3,5,5,4,4,5,3,3,5,4,4,4,5,2,5,1,5,4,4,"2,5,7",,"1,4,6",3,3,3,2,3,2,2,2,3,4,4,3,5,3,2,4,4,4,3,4,1,14,France,High income,3,,2,NA,,4,
R_w6LfXs3H4nEh8Qx,FR,4,4,4,4,4,lack of water ,Sea level rise ,increased hurricane risks,"1,2,11",1,1,0,0,0,0,0,1,0,0,,4,3,5,3,4,4,3,2,3,6,4,3,6,3,2,4,1,5,5,5,"5,6,8",,"1,6,7",3,3,3,3,3,3,3,3,2,2,5,1,5,4,3,5,5,5,1,5,2,14,France,High income,3,,2,1,,4,
R_2BmNpL14rJVSz4m,FR,3,4,4,4,4,Sea level rise,Violent winds,,"1,2,4",1,1,0,1,0,0,0,0,0,0,,3,2,4,5,3,4,5,3,3,3,4,3,3,3,2,5,1,4,4,5,"1,7,8",,"1,4,5",3,3,3,3,2,3,3,3,1,4,5,1,4,5,1,5,5,5,4,5,2,14,France,High income,2,,6,1,,4,
R_3nOFSyjuS3kgDpV,FR,4,4,4,4,4,Melting of glaciers /sea level rise,Modification of the coastline,Population displacement,"1,8,9",1,0,0,0,0,0,0,0,0,0,,4,5,4,4,4,5,4,2,3,4,5,4,3,5,2,5,2,4,4,4,"3,5,10",,"1,3,6",2,3,3,2,3,3,2,2,2,1,5,1,5,4,2,4,5,5,2,5,2,14,France,High income,NA,I am passionate about the marine environment and sensitive to the major challenges of our society with regard to climate change,6,2,,3,
R_3spRHFPvYxBXw2p,FR,4,3,3,4,4,Frequency of cyclones,Intensity of natural events,Loss of biodiversity,"1,2,5",1,1,0,0,0,0,0,0,0,0,,5,2,4,3,4,4,3,2,4,2,3,4,2,4,2,4,1,5,5,5,"1,7,8",,"1,7,8",3,3,3,3,3,3,3,2,2,4,4,2,5,2,2,1,4,3,2,4,3,14,France,High income,3,,5,2,,5,
R_eCLjLYWSKNxBAiZ,FR,4,4,4,2,3,Pollution ,Glacial melting and sea level rise,Culture disorder,"1,9,13",1,0,0,0,0,0,0,0,0,0,,4,6,4,3,3,3,3,3,3,2,2,4,3,4,2,5,2,4,4,4,"6,7,8",,"1,3,7",3,3,3,3,3,3,3,3,2,2,5,3,4,5,2,4,5,4,5,4,1,14,France,High income,2,,4,2,,4,
R_77JSB4yecCVKgMN,FR,4,5,5,5,4,Sea level rise,Acidification of the ocean,more extreme weather events,"1,2,5",1,1,0,0,0,0,0,0,0,0,,5,2,5,5,5,4,5,2,5,4,5,5,3,5,2,4,1,5,5,5,"1,2,4",,"1,3,6",3,3,3,3,3,2,2,2,3,1,5,1,5,5,1,4,5,4,1,5,2,14,France,High income,3,,3,1,,4,
R_31sK6jUWShtjq6T,FR,4,5,5,5,4,Sealevel rise ,,,"2,8,13",0,1,0,0,0,0,0,0,0,0,,3,4,4,2,3,4,4,2,5,5,3,3,3,5,2,4,1,5,5,5,"1,4,6",,"2,5,6",3,3,3,3,3,3,3,3,2,1,4,1,5,4,1,4,5,5,1,5,1,14,France,High income,2,,4,2,,3,
